Player,Matches,innings_bat,Runs,Balls_played,Outs,SR,Avg,Centuries,Fifties,Fours,Sixes,innings_bowl,Wickets_taken,Total_balls,Total_runs_given,Economy,Bowling_avg,Bowling_SR
DAJ Bracewell,2,1,12,9,0,133.33,0,0,0,1,0,1,3,25,32,7.68,10.67,8.33
DR Shorey,2,2,13,20,2,65,6.5,0,0,0,1,0,0,0,0,0,0,0
DS Lehmann,2,2,18,19,2,94.74,9,0,0,3,0,0,0,0,0,0,0,0
DT Patil,2,2,13,13,1,100,13,0,0,1,0,0,0,0,0,0,0,0
ER Dwivedi,2,2,24,15,2,160,12,0,0,2,2,0,0,0,0,0,0,0
GR Napier,2,1,15,16,1,93.75,15,0,0,1,0,1,1,24,28,7,28,24
I Malhotra,2,1,7,4,0,175,0,0,0,1,0,1,0,6,23,23,0,0
JE Root,2,1,10,15,1,66.67,10,0,0,1,0,1,0,12,15,7.5,0,0
MDKJ Perera,2,2,14,13,2,107.69,7,0,0,3,0,0,0,0,0,0,0,0
Mashrafe Mortaza,2,1,2,2,0,100,0,0,0,0,0,1,1,28,59,12.64,59,28
Mohit Rathee,2,1,1,2,0,50,0,0,0,0,0,1,0,12,29,14.5,0,0
NJ Rimmington,2,1,1,1,0,100,0,0,0,0,0,1,0,18,20,6.67,0,0
P Ray Barman,2,1,19,25,1,76,19,0,0,2,0,1,0,24,56,14,0,0
R Sanjay Yadav,2,1,0,2,1,0,0,0,0,0,0,1,0,14,23,9.86,0,0
RA Bawa,2,2,11,14,2,78.57,5.5,0,0,1,0,0,0,0,0,0,0,0
RK Bhui,2,2,7,18,2,38.89,3.5,0,0,0,0,0,0,0,0,0,0,0
RR Bhatkal,2,1,0,2,2,0,0,0,0,0,0,1,0,12,35,17.5,0,0
RS Gavaskar,2,1,2,8,1,25,2,0,0,0,0,1,0,6,8,8,0,0
Sanvir Singh,2,2,11,9,1,122.22,11,0,0,1,1,0,0,0,0,0,0,0
Sunny Gupta,2,1,0,1,1,0,0,0,0,0,0,1,0,19,47,14.84,0,0
T Banton,2,2,18,22,2,81.82,9,0,0,1,1,0,0,0,0,0,0,0
TD Paine,2,2,10,29,2,34.48,5,0,0,0,0,0,0,0,0,0,0,0
VH Zol,2,2,29,26,2,111.54,14.5,0,0,3,1,0,0,0,0,0,0,0
Virat Singh,2,2,15,26,3,57.69,5,0,0,1,0,0,0,0,0,0,0,0
Y Gnaneswara Rao,2,1,19,18,1,105.56,19,0,0,3,0,1,0,6,7,7,0,0
A Tomar,1,1,4,8,1,50,4,0,0,1,0,0,0,0,0,0,0,0
AR Bawne,1,1,12,12,0,100,0,0,0,1,0,0,0,0,0,0,0,0
Abdul Basith,1,1,1,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0
BJ Haddin,1,1,18,11,1,163.64,18,0,0,2,1,0,0,0,0,0,0,0
C Madan,1,1,15,21,1,71.43,15,0,0,3,0,0,0,0,0,0,0,0
DJ Malan,1,1,26,26,1,100,26,0,0,1,1,0,0,0,0,0,0,0
DM Bravo,1,1,6,5,0,120,0,0,0,1,0,0,0,0,0,0,0,0
DR Martyn,1,1,19,26,2,73.08,9.5,0,0,1,0,0,0,0,0,0,0,0
H Das,1,1,2,5,1,40,2,0,0,0,0,0,0,0,0,0,0,0
JL Denly,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Liton Das,1,1,4,4,1,100,4,0,0,1,0,0,0,0,0,0,0,0
Mohammad Ashraful,1,1,2,12,1,16.67,2,0,0,0,0,0,0,0,0,0,0,0
P Chopra,1,1,8,6,1,133.33,8,0,0,2,0,0,0,0,0,0,0,0
PSP Handscomb,1,1,6,12,1,50,6,0,0,0,0,0,0,0,0,0,0,0
RS Sodhi,1,1,4,2,0,200,0,0,0,1,0,0,0,0,0,0,0,0
SD Lad,1,1,15,13,1,115.38,15,0,0,1,1,0,0,0,0,0,0,0
SS Shaikh,1,1,6,7,0,85.71,0,0,0,1,0,0,0,0,0,0,0,0
U Kaul,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA Birla,1,1,7,15,1,46.67,7,0,0,1,0,0,0,0,0,0,0,0
X Thalaivan Sargunam,1,1,10,17,1,58.82,10,0,0,0,0,0,0,0,0,0,0,0
Younis Khan,1,1,3,7,1,42.86,3,0,0,0,0,0,0,0,0,0,0,0
